City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,el granada,37.5027,-122.4694,303.6,72,75,5.14,US,1691611592
296,qarazhal,48.0078,70.7903,296.79,53,98,3.06,KZ,1691611593
297,kailua-kona,19.6406,-155.9956,303.43,73,20,5.14,US,1691611474
298,acarau,-2.8856,-40.12,300.51,71,80,6.84,BR,1691611487
299,urangan,-25.3,152.9,289.81,68,66,2.56,AU,1691611593
300,rumbek,6.802,29.6912,296.23,75,14,0.71,SS,1691611594
301,kruisfontein,-34.0033,24.7314,288.09,89,0,4.48,ZA,1691611594
302,williamson,30.6502,-97.6003,314.79,36,0,6.69,US,1691611595
303,plastun,44.7561,136.2939,289.65,98,100,1.87,RU,1691611595
304,caleta de carquin,-11.0925,-77.6267,294.6,69,42,4.44,PE,1691611497
305,college,64.8569,-147.8028,294.03,84,75,0.0,US,1691611596
306,balqash,46.8481,74.995,297.29,55,54,4.15,KZ,1691611596
307,kalyazin,57.2403,37.8433,289.83,99,99,2.72,RU,1691611596
308,arkhangel'sk,64.5401,40.5433,289.86,79,3,2.11,RU,1691611500
309,rundu,-17.9333,19.7667,292.68,27,86,3.38,NA,1691611597
310,papao,-17.75,-149.55,299.97,72,100,7.34,PF,1691611484
311,port moresby,-9.4431,147.1797,296.83,73,40,5.14,PG,1691611598
312,nouadhibou,20.931,-17.0347,296.14,83,20,9.77,MR,1691611598
313,kaduy,59.2,37.15,291.28,99,100,0.86,RU,1691611598
314,peschanokopskoye,46.1961,41.0775,300.11,51,19,3.58,RU,1691611599
315,wad az zaki,14.4619,32.2065,305.75,42,8,4.03,SD,1691611600
316,awjilah,29.1081,21.2869,301.21,45,0,7.38,LY,1691611600
317,bengkulu,-3.8004,102.2655,296.26,94,56,2.57,ID,1691611601
318,anna regina,7.2644,-58.5077,302.53,70,23,4.67,GY,1691611601
319,granbury,32.4421,-97.7942,316.31,26,0,7.2,US,1691611577
320,pushkinskiye gory,57.0209,28.9103,285.91,70,9,2.26,RU,1691611602
321,puerto baquerizo moreno,-0.9,-89.6,300.7,69,75,7.72,EC,1691611317
322,solleftea,63.1667,17.2667,287.07,95,11,1.83,SE,1691611602
323,vila velha,-20.3297,-40.2925,296.12,86,75,3.6,BR,1691611603
324,pathein,16.7833,94.7333,297.86,93,100,2.24,MM,1691611603
325,polyarnyye zori,67.3661,32.4981,284.63,90,0,0.94,RU,1691611604
326,labrador city,52.9463,-66.9114,283.97,98,100,5.35,CA,1691611604
327,luanda,-8.8368,13.2343,295.15,73,5,3.6,AO,1691611561
328,tura,25.5198,90.2201,296.71,98,100,0.88,IN,1691611605
329,fredericton,45.9454,-66.6656,295.38,73,100,5.02,CA,1691611605
330,klyuchi,52.2667,79.1667,293.63,44,89,2.62,RU,1691611605
331,lihue,21.9789,-159.3672,304.73,65,75,9.77,US,1691611606
332,kerikeri,-35.2268,173.9474,278.66,93,1,1.77,NZ,1691611500
333,krasnobrodskiy,54.1581,86.4486,288.12,82,26,2.96,RU,1691611606
334,macapa,0.0389,-51.0664,306.14,66,40,5.14,BR,1691611371
335,chui,-33.6971,-53.4616,289.58,80,76,5.68,UY,1691611607
336,rosso,16.4986,-15.8153,302.45,55,40,7.82,SN,1691611607
337,hauterive,46.0901,3.4459,297.57,69,0,1.94,FR,1691611608
338,nehe,48.4833,124.8333,289.98,98,94,3.07,CN,1691611608
339,kapa'a,22.0752,-159.319,305.14,73,75,9.77,US,1691611517
340,ubari,26.5921,12.7805,302.54,16,0,3.97,LY,1691611609
341,westport,41.1415,-73.3579,303.86,47,40,4.63,US,1691611391
342,antsiranana,-12.2787,49.2917,295.3,79,1,5.47,MG,1691611441
343,vilyuysk,63.7553,121.6247,285.49,61,2,2.99,RU,1691611610
344,tutoia,-2.7619,-42.2744,300.45,75,35,5.4,BR,1691611610
345,le pouliguen,47.2697,-2.4278,298.15,73,0,3.44,FR,1691611610
346,kosh-agach,50.0,88.6667,285.16,78,100,0.76,RU,1691611611
347,meadow lake,34.8014,-106.5436,306.65,20,42,2.91,US,1691611611
348,pontianak,-0.0333,109.3333,298.14,100,40,0.51,ID,1691611612
349,port lincoln,-34.7333,135.8667,285.43,63,99,4.44,AU,1691611612
350,nahiyat ash shinafiyah,31.5874,44.6602,312.61,8,0,4.6,IQ,1691611612
351,zhangjiakou,40.81,114.8794,294.64,94,89,1.8,CN,1691611613
352,suva,-18.1416,178.4415,293.86,88,75,3.09,FJ,1691611461
353,hsinchu,24.8036,120.9686,303.07,77,8,0.45,TW,1691611543
354,kostroma,57.7708,40.9344,293.74,68,60,3.64,RU,1691611613
355,okahandja,-21.9833,16.9167,294.5,26,99,2.86,NA,1691611614
356,puerto real,36.5282,-6.1901,303.49,77,0,2.39,ES,1691611614
357,buka,40.8108,69.1986,300.02,29,1,2.24,UZ,1691611615
358,misratah,32.3754,15.0925,299.63,63,0,4.17,LY,1691611615
359,kayes,14.0,-11.0,302.33,55,82,3.75,ML,1691611338
360,ascension,30.2169,-90.9001,311.02,60,40,3.6,US,1691611616
361,praia da vitoria,38.7333,-27.0667,298.01,90,100,4.73,PT,1691611616
